tabla,posicion,columna,tipo_dato,descripcion
fct_ppi_observacion,1,cve_cartera,VARCHAR,"Clave de cartera del PPI asignada por la Unidad de Inversiones de la SHCP. Alfanumérica de 10-11 caracteres (ej. 2151GYN0003) tras limpiar la comilla inicial de Excel -- NO es numérica, 99.2% de cumplimiento medido sobre 32,186 valores reales. Es el identificador que permite seguir un PPI a través de cortes."
fct_ppi_observacion,2,snapshot_id,VARCHAR,Corte en que se observó este renglón. FK a dim_snapshot.
fct_ppi_observacion,3,anio_corte,DOUBLE,"Año del corte (copiado de dim_snapshot para consulta directa). NULL en observaciones de snapshots anuales genéricos y en ~20% de filas del propio esquema fuente moderno (medido, no supuesto)."
fct_ppi_observacion,4,trimestre_corte,INTEGER,Trimestre del corte (1-4); NULL en snapshots anuales genéricos.
fct_ppi_observacion,5,n_registros_agregados,BIGINT,"Cuántas sub-filas del archivo fuente se colapsaron en esta observación. 1 = renglón directo; >1 = programa multi-entidad publicado como una fila por sub-asignación (hasta 33), cuyos montos aquí están SUMADOS y cuyos atributos descriptivos vienen de la sub-fila de mayor monto -- la pérdida de precisión geográfica queda declarada en esta columna, no escondida (ver int_ppi_observaciones_dedup.sql)."
fct_ppi_observacion,6,aprobado,DOUBLE,"Presupuesto aprobado del ciclo fiscal del corte, pesos corrientes MXN (columna fuente APROBADO/MONTO_APROBADO según el año del esquema)."
fct_ppi_observacion,7,modificado,DOUBLE,"Presupuesto modificado del ciclo fiscal del corte, pesos corrientes MXN. Es el monto contra el que la fuente reporta el ejercicio del año en curso."
fct_ppi_observacion,8,ejercido,DOUBLE,"Monto ejercido, pesos corrientes MXN. OJO (hallazgo real, Fase 2): en 18.5% de filas ejercido > modificado por márgenes de cientos de veces -- consistente con un EJERCIDO acumulado del proyecto contra un MODIFICADO del ciclo vigente. No asumir que son comparables directamente; pregunta abierta documentada."
fct_ppi_observacion,9,monto_total_inversion,DOUBLE,"Monto total de inversión del PPI completo (todos los años), pesos corrientes MXN. Verificado en magnitud contra megaproyectos conocidos (Tren Maya ~1.67e11)."
fct_ppi_observacion,10,monto_operacion_mantenimiento,DOUBLE,"Monto de operación y mantenimiento asociado al PPI, pesos corrientes MXN. Solo existe en algunos esquemas fuente; NULL donde la fuente no lo publica."
fct_ppi_observacion,11,costo_total_inversion,DOUBLE,"Costo total (inversión + operación y mantenimiento) declarado por la fuente, pesos corrientes MXN. Solo en esquemas que lo publican; no se calcula aquí."
fct_ppi_observacion,12,ppef,DOUBLE,"Monto en el Proyecto de Presupuesto de Egresos de la Federación del ciclo, pesos corrientes MXN (columna fuente MONTO_PPEF, esquemas 2017-2018)."
fct_ppi_observacion,13,pef,DOUBLE,"Monto en el Presupuesto de Egresos de la Federación aprobado del ciclo, pesos corrientes MXN. Solo en esquemas que lo publican."
fct_ppi_observacion,14,avance_fisico,DOUBLE,"Avance físico reportado, puntos porcentuales 0-100 (verificado: promedio 43.5, rango completo). En observaciones agregadas (n_registros_agregados > 1) es el máximo de las sub-filas, nunca su suma."
fct_ppi_observacion,15,estatus_operacion,VARCHAR,"Estatus del PPI en el sistema de la Unidad de Inversiones (esquema moderno, 2018+; NULL antes -- ver fase). OJO (hallazgo real, 2026-08-08): incluye variantes de texto de la misma fuente que no se normalizaron en Silver (ej. ""Calendario Fiscal Concluido / Operación"" con espacios vs. sin espacios; ""En Proceso de Cancelación"" vs. minúscula) -- pendiente de unificar en una futura pasada de Silver. El test aquí fija el conjunto conocido HOY para detectar valores genuinamente nuevos, no para validar que estén limpios."
fct_ppi_observacion,16,fase,VARCHAR,"Fase del PPI en el esquema viejo/transicional de la fuente (columna FASE, solo 2017-2018 -- verificado: 0 valores fuera de esos cortes). Cumple el rol que estatus_operacion tiene en el esquema moderno pero con vocabulario propio; se conserva como columna aparte a propósito, sin mapearla (ver conf/schema_map.yml)."
fct_ppi_observacion,17,id_ramo,BIGINT,Ramo presupuestario del PPI en este corte. FK a dim_ramo.
fct_ppi_observacion,18,descripcion_ramo,VARCHAR,Nombre del ramo tal como lo publicó la fuente en este corte.
fct_ppi_observacion,19,descripcion_tipo_ppi,VARCHAR,"OJO: texto libre de 11 años de fuente, no el catálogo oficial de 11 valores de dim_tipo_ppi -- no hay un id_tipo_ppi numérico en los datos crudos que los una limpiamente (ver dim_tipo_ppi.sql). 29 valores distintos observados, con duplicados de forma (mayúscula/minúscula, singular/plural) sin normalizar."
fct_ppi_observacion,20,id_entidad_federativa,DOUBLE,Entidad federativa del PPI en este corte (clave INEGI o código especial 33-35). FK a dim_entidad. En agregados multi-entidad es la de la sub-fila de mayor monto.
fct_ppi_observacion,21,entidad_federativa,VARCHAR,Nombre de la entidad tal como lo publicó la fuente en este corte.
fct_ppi_observacion,22,latitud,DOUBLE,"Latitud del PPI en grados decimales (WGS84 implícito en la fuente). El centinela 0 del esquema viejo ya se trató como NULL en Silver -- (0,0) es imposible en México y era el 48.6% de 2015 (hallazgo real de Fase 2). Puede quedar algún punto fuera del territorio: la fuente publica errores de captura reales."
fct_ppi_observacion,23,longitud,DOUBLE,Longitud del PPI en grados decimales (negativa en México). Mismo tratamiento de centinelas que latitud.
fct_ppi_observacion,24,modificado_real,DOUBLE,modificado deflactado a pesos constantes del año base (ver anio_base_deflactor). NULL hasta que conf/deflactor_inpc.csv se llene con la serie oficial de Banxico SIE -- se prefirió NULL explícito a aproximar con inflación genérica.
fct_ppi_observacion,25,ejercido_real,DOUBLE,ejercido deflactado a pesos constantes. NULL por la misma razón que modificado_real.
fct_ppi_observacion,26,monto_total_inversion_real,DOUBLE,monto_total_inversion deflactado a pesos constantes. NULL por la misma razón.
fct_ppi_observacion,27,anio_base_deflactor,INTEGER,Año base de la serie INPC usada para deflactar (columna anio_base de conf/deflactor_inpc.csv). NULL mientras el CSV siga vacío.
